/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T03:42:57.516228] Published: {'temperature': 28.24, 'humidity': 88.66, 'co2': 753, 'ch4': 13, 'pressure': 1023, 'light': 690}
📡 [2026-04-18T03:43:02.516927] Published: {'temperature': 29.84, 'humidity': 73.92, 'co2': 826, 'ch4': 12, 'pressure': 992, 'light': 327}
📡 [2026-04-18T03:43:07.517649] Published: {'temperature': 25.3, 'humidity': 86.95, 'co2': 853, 'ch4': 4, 'pressure': 1018, 'light': 206}
📡 [2026-04-18T03:43:12.518794] Published: {'temperature': 25.92, 'humidity': 72.25, 'co2': 847, 'ch4': 15, 'pressure': 1017, 'light': 469}
📡 [2026-04-18T03:43:17.519517] Published: {'temperature': 27.95, 'humidity': 61.67, 'co2': 600, 'ch4': 11, 'pressure': 1014, 'light': 907}
📡 [2026-04-18T03:43:22.520063] Published: {'temperature': 27.39, 'humidity': 76.48, 'co2': 410, 'ch4': 7, 'pressure': 1024, 'light': 496}
📡 [2026-04-18T03:43:27.521184] Published: {'temperature': 25.29, 'humidity': 83.81, 'co2': 831, 'ch4': 3, 'pressure': 1018, 'light': 225}
📡 [2026-04-18T03:43:32.522128] Published: {'temperature': 25.94, 'humidity': 77.41, 'co2': 997, 'ch4': 15, 'pressure': 991, 'light': 596}
📡 [2026-04-18T03:43:37.523304] Published: {'temperature': 26.5, 'humidity': 67.29, 'co2': 997, 'ch4': 8, 'pressure': 1016, 'light': 534}
📡 [2026-04-18T03:43:42.523674] Published: {'temperature': 27.72, 'humidity': 76.41, 'co2': 843, 'ch4': 1, 'pressure': 1015, 'light': 154}
📡 [2026-04-18T03:43:47.524701] Published: {'temperature': 24.33, 'humidity': 82.97, 'co2': 704, 'ch4': 6, 'pressure': 995, 'light': 723}
📡 [2026-04-18T03:43:52.525615] Published: {'temperature': 29.5, 'humidity': 66.62, 'co2': 869, 'ch4': 8, 'pressure': 1025, 'light': 949}
📡 [2026-04-18T03:43:57.526004] Published: {'temperature': 27.4, 'humidity': 85.85, 'co2': 737, 'ch4': 8, 'pressure': 1023, 'light': 565}
📡 [2026-04-18T03:44:02.526833] Published: {'temperature': 25.24, 'humidity': 76.94, 'co2': 383, 'ch4': 4, 'pressure': 1002, 'light': 546}
📡 [2026-04-18T03:44:07.527884] Published: {'temperature': 27.22, 'humidity': 78.7, 'co2': 366, 'ch4': 10, 'pressure': 1005, 'light': 557}
📡 [2026-04-18T03:44:12.528311] Published: {'temperature': 25.23, 'humidity': 79.29, 'co2': 406, 'ch4': 6, 'pressure': 1001, 'light': 772}
📡 [2026-04-18T03:44:17.528919] Published: {'temperature': 28.69, 'humidity': 69.42, 'co2': 1082, 'ch4': 12, 'pressure': 1013, 'light': 253}
📡 [2026-04-18T03:44:22.529424] Published: {'temperature': 27.75, 'humidity': 84.82, 'co2': 855, 'ch4': 14, 'pressure': 993, 'light': 645}
📡 [2026-04-18T03:44:27.529776] Published: {'temperature': 27.91, 'humidity': 72.96, 'co2': 936, 'ch4': 7, 'pressure': 1017, 'light': 753}
📡 [2026-04-18T03:44:32.530178] Published: {'temperature': 28.17, 'humidity': 82.32, 'co2': 789, 'ch4': 4, 'pressure': 1022, 'light': 708}
📡 [2026-04-18T03:44:37.530952] Published: {'temperature': 24.69, 'humidity': 60.07, 'co2': 726, 'ch4': 1, 'pressure': 1013, 'light': 865}
📡 [2026-04-18T03:44:42.531294] Published: {'temperature': 27.9, 'humidity': 62.24, 'co2': 674, 'ch4': 5, 'pressure': 993, 'light': 667}
📡 [2026-04-18T03:44:47.532007] Published: {'temperature': 24.26, 'humidity': 86.18, 'co2': 587, 'ch4': 14, 'pressure': 1003, 'light': 524}
📡 [2026-04-18T03:44:52.533152] Published: {'temperature': 29.65, 'humidity': 59.66, 'co2': 689, 'ch4': 3, 'pressure': 1011, 'light': 568}
📡 [2026-04-18T03:44:57.533916] Published: {'temperature': 24.15, 'humidity': 60.95, 'co2': 529, 'ch4': 14, 'pressure': 994, 'light': 658}
📡 [2026-04-18T03:45:02.534886] Published: {'temperature': 24.29, 'humidity': 68.62, 'co2': 930, 'ch4': 12, 'pressure': 1022, 'light': 115}
📡 [2026-04-18T03:45:07.535462] Published: {'temperature': 28.92, 'humidity': 78.45, 'co2': 513, 'ch4': 12, 'pressure': 993, 'light': 863}
📡 [2026-04-18T03:45:12.536595] Published: {'temperature': 28.46, 'humidity': 74.21, 'co2': 524, 'ch4': 13, 'pressure': 1024, 'light': 230}
📡 [2026-04-18T03:45:17.537114] Published: {'temperature': 28.4, 'humidity': 78.24, 'co2': 490, 'ch4': 6, 'pressure': 1003, 'light': 777}
📡 [2026-04-18T03:45:22.537992] Published: {'temperature': 29.59, 'humidity': 51.46, 'co2': 892, 'ch4': 15, 'pressure': 1002, 'light': 444}
📡 [2026-04-18T03:45:27.538357] Published: {'temperature': 29.53, 'humidity': 60.18, 'co2': 500, 'ch4': 11, 'pressure': 1021, 'light': 383}
📡 [2026-04-18T03:45:32.539053] Published: {'temperature': 24.64, 'humidity': 87.04, 'co2': 962, 'ch4': 2, 'pressure': 1007, 'light': 296}
📡 [2026-04-18T03:45:37.540104] Published: {'temperature': 24.16, 'humidity': 69.11, 'co2': 381, 'ch4': 5, 'pressure': 990, 'light': 900}
📡 [2026-04-18T03:45:42.541187] Published: {'temperature': 24.26, 'humidity': 79.41, 'co2': 512, 'ch4': 11, 'pressure': 1004, 'light': 175}
📡 [2026-04-18T03:45:47.541749] Published: {'temperature': 24.32, 'humidity': 67.23, 'co2': 390, 'ch4': 2, 'pressure': 995, 'light': 401}
📡 [2026-04-18T03:45:52.542830] Published: {'temperature': 25.93, 'humidity': 64.82, 'co2': 926, 'ch4': 15, 'pressure': 1023, 'light': 353}
📡 [2026-04-18T03:45:57.544022] Published: {'temperature': 24.15, 'humidity': 75.27, 'co2': 365, 'ch4': 12, 'pressure': 1016, 'light': 502}
📡 [2026-04-18T03:46:02.544586] Published: {'temperature': 29.68, 'humidity': 59.15, 'co2': 466, 'ch4': 12, 'pressure': 999, 'light': 408}
📡 [2026-04-18T03:46:07.545345] Published: {'temperature': 29.75, 'humidity': 60.9, 'co2': 810, 'ch4': 5, 'pressure': 1007, 'light': 243}
📡 [2026-04-18T03:46:12.545821] Published: {'temperature': 27.24, 'humidity': 65.97, 'co2': 743, 'ch4': 5, 'pressure': 1002, 'light': 930}
📡 [2026-04-18T03:46:17.546364] Published: {'temperature': 27.52, 'humidity': 84.04, 'co2': 996, 'ch4': 1, 'pressure': 1007, 'light': 189}
📡 [2026-04-18T03:46:22.546712] Published: {'temperature': 29.84, 'humidity': 51.88, 'co2': 540, 'ch4': 1, 'pressure': 992, 'light': 623}
📡 [2026-04-18T03:46:27.547325] Published: {'temperature': 24.08, 'humidity': 50.93, 'co2': 430, 'ch4': 5, 'pressure': 1023, 'light': 578}
📡 [2026-04-18T03:46:32.548044] Published: {'temperature': 24.68, 'humidity': 88.88, 'co2': 477, 'ch4': 13, 'pressure': 1021, 'light': 275}
📡 [2026-04-18T03:46:37.548849] Published: {'temperature': 27.19, 'humidity': 84.38, 'co2': 943, 'ch4': 9, 'pressure': 1023, 'light': 702}
📡 [2026-04-18T03:46:42.550119] Published: {'temperature': 25.84, 'humidity': 76.65, 'co2': 495, 'ch4': 6, 'pressure': 1019, 'light': 779}
📡 [2026-04-18T03:46:47.551053] Published: {'temperature': 28.11, 'humidity': 77.54, 'co2': 368, 'ch4': 9, 'pressure': 999, 'light': 784}
📡 [2026-04-18T03:46:52.552035] Published: {'temperature': 28.36, 'humidity': 73.21, 'co2': 938, 'ch4': 9, 'pressure': 1023, 'light': 610}
📡 [2026-04-18T03:46:57.553132] Published: {'temperature': 28.13, 'humidity': 85.21, 'co2': 677, 'ch4': 13, 'pressure': 994, 'light': 426}
📡 [2026-04-18T03:47:02.554315] Published: {'temperature': 26.68, 'humidity': 55.55, 'co2': 896, 'ch4': 1, 'pressure': 995, 'light': 792}
📡 [2026-04-18T03:47:07.555289] Published: {'temperature': 27.26, 'humidity': 57.43, 'co2': 886, 'ch4': 12, 'pressure': 1019, 'light': 633}
📡 [2026-04-18T03:47:12.556286] Published: {'temperature': 26.22, 'humidity': 64.17, 'co2': 1041, 'ch4': 8, 'pressure': 997, 'light': 499}
📡 [2026-04-18T03:47:17.557162] Published: {'temperature': 29.7, 'humidity': 77.72, 'co2': 613, 'ch4': 1, 'pressure': 1022, 'light': 490}
📡 [2026-04-18T03:47:22.557704] Published: {'temperature': 26.12, 'humidity': 64.82, 'co2': 619, 'ch4': 13, 'pressure': 1005, 'light': 797}
📡 [2026-04-18T03:47:27.558348] Published: {'temperature': 25.55, 'humidity': 87.85, 'co2': 930, 'ch4': 6, 'pressure': 1010, 'light': 495}
📡 [2026-04-18T03:47:32.559097] Published: {'temperature': 24.6, 'humidity': 50.54, 'co2': 1049, 'ch4': 7, 'pressure': 1018, 'light': 548}
📡 [2026-04-18T03:47:37.559968] Published: {'temperature': 27.69, 'humidity': 78.71, 'co2': 884, 'ch4': 2, 'pressure': 1018, 'light': 244}
📡 [2026-04-18T03:47:42.560385] Published: {'temperature': 28.17, 'humidity': 64.96, 'co2': 992, 'ch4': 12, 'pressure': 1016, 'light': 390}
📡 [2026-04-18T03:47:47.561302] Published: {'temperature': 29.84, 'humidity': 62.84, 'co2': 937, 'ch4': 4, 'pressure': 1009, 'light': 444}
📡 [2026-04-18T03:47:52.562387] Published: {'temperature': 29.98, 'humidity': 60.31, 'co2': 834, 'ch4': 10, 'pressure': 1022, 'light': 197}
📡 [2026-04-18T03:47:57.562920] Published: {'temperature': 24.03, 'humidity': 60.63, 'co2': 982, 'ch4': 9, 'pressure': 990, 'light': 712}
📡 [2026-04-18T03:48:02.563520] Published: {'temperature': 28.13, 'humidity': 76.49, 'co2': 492, 'ch4': 4, 'pressure': 1004, 'light': 455}
📡 [2026-04-18T03:48:07.564054] Published: {'temperature': 29.74, 'humidity': 72.34, 'co2': 976, 'ch4': 7, 'pressure': 1000, 'light': 490}
📡 [2026-04-18T03:48:12.564527] Published: {'temperature': 26.85, 'humidity': 80.38, 'co2': 959, 'ch4': 13, 'pressure': 1020, 'light': 737}
📡 [2026-04-18T03:48:17.565306] Published: {'temperature': 25.55, 'humidity': 61.63, 'co2': 678, 'ch4': 2, 'pressure': 1018, 'light': 965}
📡 [2026-04-18T03:48:22.566506] Published: {'temperature': 29.21, 'humidity': 84.73, 'co2': 1009, 'ch4': 6, 'pressure': 994, 'light': 561}
📡 [2026-04-18T03:48:27.566847] Published: {'temperature': 27.78, 'humidity': 75.48, 'co2': 621, 'ch4': 6, 'pressure': 1021, 'light': 482}
📡 [2026-04-18T03:48:32.567249] Published: {'temperature': 27.81, 'humidity': 82.21, 'co2': 977, 'ch4': 12, 'pressure': 997, 'light': 667}
📡 [2026-04-18T03:48:37.568455] Published: {'temperature': 25.25, 'humidity': 78.59, 'co2': 956, 'ch4': 7, 'pressure': 994, 'light': 887}
📡 [2026-04-18T03:48:42.569671] Published: {'temperature': 25.03, 'humidity': 81.78, 'co2': 1020, 'ch4': 10, 'pressure': 1006, 'light': 961}
📡 [2026-04-18T03:48:47.571363] Published: {'temperature': 28.66, 'humidity': 80.57, 'co2': 581, 'ch4': 13, 'pressure': 1014, 'light': 185}
📡 [2026-04-18T03:48:52.572516] Published: {'temperature': 27.3, 'humidity': 62.7, 'co2': 784, 'ch4': 3, 'pressure': 1004, 'light': 599}
📡 [2026-04-18T03:48:57.574299] Published: {'temperature': 26.79, 'humidity': 56.13, 'co2': 924, 'ch4': 10, 'pressure': 998, 'light': 252}
📡 [2026-04-18T03:49:02.575035] Published: {'temperature': 24.09, 'humidity': 50.09, 'co2': 378, 'ch4': 9, 'pressure': 1001, 'light': 429}
📡 [2026-04-18T03:49:07.576138] Published: {'temperature': 25.95, 'humidity': 72.79, 'co2': 991, 'ch4': 13, 'pressure': 993, 'light': 412}
📡 [2026-04-18T03:49:12.576558] Published: {'temperature': 29.2, 'humidity': 87.13, 'co2': 952, 'ch4': 15, 'pressure': 996, 'light': 340}
📡 [2026-04-18T03:49:17.577032] Published: {'temperature': 29.56, 'humidity': 62.3, 'co2': 1039, 'ch4': 12, 'pressure': 1017, 'light': 385}
📡 [2026-04-18T03:49:22.578073] Published: {'temperature': 27.93, 'humidity': 83.67, 'co2': 473, 'ch4': 8, 'pressure': 1003, 'light': 592}
📡 [2026-04-18T03:49:27.578423] Published: {'temperature': 24.27, 'humidity': 88.23, 'co2': 862, 'ch4': 15, 'pressure': 1021, 'light': 975}
📡 [2026-04-18T03:49:32.578894] Published: {'temperature': 25.29, 'humidity': 84.77, 'co2': 778, 'ch4': 1, 'pressure': 1011, 'light': 434}
📡 [2026-04-18T03:49:37.579920] Published: {'temperature': 27.91, 'humidity': 88.25, 'co2': 428, 'ch4': 8, 'pressure': 997, 'light': 361}
📡 [2026-04-18T03:49:42.581076] Published: {'temperature': 29.19, 'humidity': 79.77, 'co2': 685, 'ch4': 14, 'pressure': 1001, 'light': 853}
📡 [2026-04-18T03:49:47.582085] Published: {'temperature': 27.49, 'humidity': 58.89, 'co2': 792, 'ch4': 5, 'pressure': 996, 'light': 693}
📡 [2026-04-18T03:49:52.583007] Published: {'temperature': 29.56, 'humidity': 81.59, 'co2': 993, 'ch4': 11, 'pressure': 1008, 'light': 174}
📡 [2026-04-18T03:49:57.584062] Published: {'temperature': 26.59, 'humidity': 57.76, 'co2': 545, 'ch4': 9, 'pressure': 1005, 'light': 909}
📡 [2026-04-18T03:50:02.586437] Published: {'temperature': 24.75, 'humidity': 68.6, 'co2': 386, 'ch4': 9, 'pressure': 1020, 'light': 155}
📡 [2026-04-18T03:50:07.587116] Published: {'temperature': 29.65, 'humidity': 88.99, 'co2': 1009, 'ch4': 1, 'pressure': 1006, 'light': 288}
📡 [2026-04-18T03:50:12.587579] Published: {'temperature': 26.83, 'humidity': 65.12, 'co2': 822, 'ch4': 11, 'pressure': 997, 'light': 630}
📡 [2026-04-18T03:50:17.588910] Published: {'temperature': 28.8, 'humidity': 82.96, 'co2': 909, 'ch4': 9, 'pressure': 1003, 'light': 332}
📡 [2026-04-18T03:50:22.589408] Published: {'temperature': 26.18, 'humidity': 69.24, 'co2': 1018, 'ch4': 1, 'pressure': 1019, 'light': 376}
📡 [2026-04-18T03:50:27.590735] Published: {'temperature': 25.53, 'humidity': 61.61, 'co2': 602, 'ch4': 8, 'pressure': 1018, 'light': 951}
📡 [2026-04-18T03:50:32.591755] Published: {'temperature': 27.65, 'humidity': 86.03, 'co2': 721, 'ch4': 14, 'pressure': 992, 'light': 977}
📡 [2026-04-18T03:50:37.592673] Published: {'temperature': 26.03, 'humidity': 83.2, 'co2': 458, 'ch4': 6, 'pressure': 991, 'light': 874}
📡 [2026-04-18T03:50:42.593934] Published: {'temperature': 25.98, 'humidity': 56.99, 'co2': 633, 'ch4': 1, 'pressure': 1016, 'light': 936}
📡 [2026-04-18T03:50:47.595104] Published: {'temperature': 26.19, 'humidity': 76.18, 'co2': 757, 'ch4': 14, 'pressure': 1002, 'light': 748}
📡 [2026-04-18T03:50:52.596464] Published: {'temperature': 26.52, 'humidity': 80.18, 'co2': 564, 'ch4': 2, 'pressure': 1021, 'light': 701}
📡 [2026-04-18T03:50:57.597023] Published: {'temperature': 25.91, 'humidity': 71.45, 'co2': 1043, 'ch4': 14, 'pressure': 1018, 'light': 102}
📡 [2026-04-18T03:51:02.598275] Published: {'temperature': 29.46, 'humidity': 54.53, 'co2': 958, 'ch4': 13, 'pressure': 998, 'light': 678}
📡 [2026-04-18T03:51:07.599608] Published: {'temperature': 24.08, 'humidity': 76.55, 'co2': 782, 'ch4': 5, 'pressure': 1016, 'light': 753}
📡 [2026-04-18T03:51:12.600402] Published: {'temperature': 25.72, 'humidity': 82.29, 'co2': 737, 'ch4': 3, 'pressure': 1005, 'light': 215}
📡 [2026-04-18T03:51:17.601600] Published: {'temperature': 25.3, 'humidity': 65.1, 'co2': 381, 'ch4': 7, 'pressure': 990, 'light': 607}
📡 [2026-04-18T03:51:22.602624] Published: {'temperature': 24.82, 'humidity': 58.41, 'co2': 780, 'ch4': 4, 'pressure': 1015, 'light': 741}
📡 [2026-04-18T03:51:27.603588] Published: {'temperature': 28.27, 'humidity': 57.19, 'co2': 765, 'ch4': 5, 'pressure': 1001, 'light': 599}
📡 [2026-04-18T03:51:32.604071] Published: {'temperature': 29.91, 'humidity': 74.37, 'co2': 688, 'ch4': 3, 'pressure': 990, 'light': 903}
📡 [2026-04-18T03:51:37.604815] Published: {'temperature': 27.73, 'humidity': 85.21, 'co2': 696, 'ch4': 15, 'pressure': 1022, 'light': 817}
📡 [2026-04-18T03:51:42.605490] Published: {'temperature': 28.34, 'humidity': 73.46, 'co2': 1065, 'ch4': 2, 'pressure': 1021, 'light': 473}
📡 [2026-04-18T03:51:47.606487] Published: {'temperature': 29.38, 'humidity': 52.0, 'co2': 1072, 'ch4': 5, 'pressure': 1010, 'light': 877}
📡 [2026-04-18T03:51:52.607365] Published: {'temperature': 24.31, 'humidity': 81.79, 'co2': 1044, 'ch4': 1, 'pressure': 1018, 'light': 716}
📡 [2026-04-18T03:51:57.608232] Published: {'temperature': 25.51, 'humidity': 82.05, 'co2': 410, 'ch4': 8, 'pressure': 1008, 'light': 556}
📡 [2026-04-18T03:52:02.609104] Published: {'temperature': 25.53, 'humidity': 60.06, 'co2': 441, 'ch4': 14, 'pressure': 1014, 'light': 783}
📡 [2026-04-18T03:52:07.610286] Published: {'temperature': 24.49, 'humidity': 81.07, 'co2': 373, 'ch4': 9, 'pressure': 999, 'light': 475}
📡 [2026-04-18T03:52:12.611424] Published: {'temperature': 26.88, 'humidity': 69.64, 'co2': 703, 'ch4': 10, 'pressure': 1001, 'light': 183}
📡 [2026-04-18T03:52:17.612944] Published: {'temperature': 26.81, 'humidity': 84.76, 'co2': 524, 'ch4': 15, 'pressure': 1003, 'light': 597}
📡 [2026-04-18T03:52:22.614099] Published: {'temperature': 29.69, 'humidity': 61.18, 'co2': 529, 'ch4': 14, 'pressure': 995, 'light': 801}
📡 [2026-04-18T03:52:27.615220] Published: {'temperature': 26.82, 'humidity': 62.7, 'co2': 1004, 'ch4': 10, 'pressure': 997, 'light': 482}
📡 [2026-04-18T03:52:32.616430] Published: {'temperature': 26.04, 'humidity': 75.12, 'co2': 682, 'ch4': 2, 'pressure': 1003, 'light': 372}
📡 [2026-04-18T03:52:37.617750] Published: {'temperature': 24.47, 'humidity': 64.65, 'co2': 406, 'ch4': 10, 'pressure': 1023, 'light': 382}
📡 [2026-04-18T03:52:42.618329] Published: {'temperature': 27.4, 'humidity': 57.31, 'co2': 387, 'ch4': 7, 'pressure': 991, 'light': 831}
📡 [2026-04-18T03:52:47.619069] Published: {'temperature': 28.61, 'humidity': 78.28, 'co2': 796, 'ch4': 7, 'pressure': 1019, 'light': 782}
📡 [2026-04-18T03:52:52.619727] Published: {'temperature': 29.96, 'humidity': 68.13, 'co2': 999, 'ch4': 6, 'pressure': 997, 'light': 390}
📡 [2026-04-18T03:52:57.620628] Published: {'temperature': 25.17, 'humidity': 80.28, 'co2': 689, 'ch4': 2, 'pressure': 997, 'light': 773}
📡 [2026-04-18T03:53:02.621568] Published: {'temperature': 29.11, 'humidity': 56.85, 'co2': 761, 'ch4': 4, 'pressure': 1017, 'light': 586}
📡 [2026-04-18T03:53:07.621905] Published: {'temperature': 28.82, 'humidity': 70.25, 'co2': 485, 'ch4': 14, 'pressure': 1021, 'light': 368}
📡 [2026-04-18T03:53:12.622583] Published: {'temperature': 24.67, 'humidity': 61.03, 'co2': 384, 'ch4': 9, 'pressure': 992, 'light': 529}
📡 [2026-04-18T03:53:17.623515] Published: {'temperature': 24.95, 'humidity': 80.3, 'co2': 576, 'ch4': 7, 'pressure': 1015, 'light': 688}
📡 [2026-04-18T03:53:22.624523] Published: {'temperature': 26.03, 'humidity': 66.2, 'co2': 840, 'ch4': 7, 'pressure': 994, 'light': 688}
📡 [2026-04-18T03:53:27.624906] Published: {'temperature': 26.5, 'humidity': 86.7, 'co2': 1090, 'ch4': 14, 'pressure': 1011, 'light': 107}
📡 [2026-04-18T03:53:32.625813] Published: {'temperature': 26.16, 'humidity': 57.19, 'co2': 575, 'ch4': 9, 'pressure': 1008, 'light': 476}
📡 [2026-04-18T03:53:37.626257] Published: {'temperature': 27.34, 'humidity': 71.14, 'co2': 686, 'ch4': 9, 'pressure': 1022, 'light': 502}
📡 [2026-04-18T03:53:42.627612] Published: {'temperature': 28.55, 'humidity': 76.86, 'co2': 630, 'ch4': 15, 'pressure': 1022, 'light': 222}
📡 [2026-04-18T03:53:47.628698] Published: {'temperature': 29.24, 'humidity': 58.17, 'co2': 476, 'ch4': 6, 'pressure': 1022, 'light': 336}
📡 [2026-04-18T03:53:52.629718] Published: {'temperature': 26.26, 'humidity': 63.77, 'co2': 1055, 'ch4': 13, 'pressure': 1003, 'light': 584}
📡 [2026-04-18T03:53:57.630392] Published: {'temperature': 29.69, 'humidity': 51.81, 'co2': 902, 'ch4': 7, 'pressure': 1005, 'light': 771}
📡 [2026-04-18T03:54:02.631433] Published: {'temperature': 29.67, 'humidity': 65.34, 'co2': 828, 'ch4': 6, 'pressure': 1016, 'light': 954}
📡 [2026-04-18T03:54:07.632785] Published: {'temperature': 25.24, 'humidity': 53.64, 'co2': 939, 'ch4': 15, 'pressure': 1005, 'light': 735}
📡 [2026-04-18T03:54:12.633992] Published: {'temperature': 28.42, 'humidity': 62.46, 'co2': 700, 'ch4': 15, 'pressure': 998, 'light': 376}
📡 [2026-04-18T03:54:17.635027] Published: {'temperature': 27.96, 'humidity': 58.46, 'co2': 382, 'ch4': 12, 'pressure': 1003, 'light': 892}
📡 [2026-04-18T03:54:22.635549] Published: {'temperature': 27.04, 'humidity': 74.64, 'co2': 897, 'ch4': 8, 'pressure': 1014, 'light': 725}
📡 [2026-04-18T03:54:27.636910] Published: {'temperature': 26.43, 'humidity': 58.56, 'co2': 610, 'ch4': 15, 'pressure': 1013, 'light': 729}
📡 [2026-04-18T03:54:32.638417] Published: {'temperature': 29.18, 'humidity': 58.73, 'co2': 677, 'ch4': 9, 'pressure': 1008, 'light': 879}
📡 [2026-04-18T03:54:37.639817] Published: {'temperature': 24.69, 'humidity': 73.33, 'co2': 529, 'ch4': 12, 'pressure': 1021, 'light': 200}
📡 [2026-04-18T03:54:42.640685] Published: {'temperature': 28.63, 'humidity': 78.66, 'co2': 695, 'ch4': 6, 'pressure': 991, 'light': 835}
📡 [2026-04-18T03:54:47.641934] Published: {'temperature': 24.64, 'humidity': 87.3, 'co2': 476, 'ch4': 15, 'pressure': 1016, 'light': 565}
📡 [2026-04-18T03:54:52.642836] Published: {'temperature': 25.63, 'humidity': 72.06, 'co2': 633, 'ch4': 12, 'pressure': 1021, 'light': 965}
📡 [2026-04-18T03:54:57.643753] Published: {'temperature': 28.14, 'humidity': 56.68, 'co2': 547, 'ch4': 10, 'pressure': 998, 'light': 887}
📡 [2026-04-18T03:55:02.644247] Published: {'temperature': 25.57, 'humidity': 76.99, 'co2': 871, 'ch4': 5, 'pressure': 997, 'light': 290}
📡 [2026-04-18T03:55:07.645483] Published: {'temperature': 28.44, 'humidity': 70.9, 'co2': 384, 'ch4': 4, 'pressure': 1001, 'light': 245}
📡 [2026-04-18T03:55:12.646421] Published: {'temperature': 24.92, 'humidity': 76.05, 'co2': 400, 'ch4': 2, 'pressure': 994, 'light': 942}
📡 [2026-04-18T03:55:17.647353] Published: {'temperature': 26.29, 'humidity': 87.28, 'co2': 514, 'ch4': 12, 'pressure': 1001, 'light': 437}
📡 [2026-04-18T03:55:22.647679] Published: {'temperature': 28.37, 'humidity': 60.25, 'co2': 681, 'ch4': 4, 'pressure': 1002, 'light': 916}
📡 [2026-04-18T03:55:27.648175] Published: {'temperature': 28.59, 'humidity': 53.73, 'co2': 430, 'ch4': 4, 'pressure': 1001, 'light': 809}
📡 [2026-04-18T03:55:32.648698] Published: {'temperature': 29.84, 'humidity': 84.44, 'co2': 657, 'ch4': 4, 'pressure': 1002, 'light': 325}
📡 [2026-04-18T03:55:37.649110] Published: {'temperature': 25.41, 'humidity': 64.31, 'co2': 422, 'ch4': 12, 'pressure': 1006, 'light': 459}
📡 [2026-04-18T03:55:42.650648] Published: {'temperature': 27.21, 'humidity': 63.07, 'co2': 854, 'ch4': 3, 'pressure': 1022, 'light': 982}
📡 [2026-04-18T03:55:47.651465] Published: {'temperature': 26.0, 'humidity': 76.78, 'co2': 616, 'ch4': 15, 'pressure': 1008, 'light': 943}
📡 [2026-04-18T03:55:52.652297] Published: {'temperature': 29.42, 'humidity': 51.83, 'co2': 516, 'ch4': 9, 'pressure': 1001, 'light': 690}
📡 [2026-04-18T03:55:57.652799] Published: {'temperature': 24.14, 'humidity': 62.99, 'co2': 394, 'ch4': 14, 'pressure': 997, 'light': 590}
📡 [2026-04-18T03:56:02.654277] Published: {'temperature': 25.97, 'humidity': 89.07, 'co2': 694, 'ch4': 10, 'pressure': 1003, 'light': 143}
📡 [2026-04-18T03:56:07.655378] Published: {'temperature': 26.3, 'humidity': 76.25, 'co2': 471, 'ch4': 4, 'pressure': 1023, 'light': 950}
📡 [2026-04-18T03:56:12.656458] Published: {'temperature': 26.38, 'humidity': 75.54, 'co2': 442, 'ch4': 6, 'pressure': 991, 'light': 609}
📡 [2026-04-18T03:56:17.657810] Published: {'temperature': 25.09, 'humidity': 61.22, 'co2': 853, 'ch4': 13, 'pressure': 992, 'light': 713}
📡 [2026-04-18T03:56:22.659154] Published: {'temperature': 27.31, 'humidity': 71.92, 'co2': 659, 'ch4': 15, 'pressure': 1023, 'light': 485}
📡 [2026-04-18T03:56:27.660378] Published: {'temperature': 29.02, 'humidity': 59.92, 'co2': 940, 'ch4': 8, 'pressure': 1020, 'light': 943}
📡 [2026-04-18T03:56:32.661628] Published: {'temperature': 27.95, 'humidity': 88.33, 'co2': 910, 'ch4': 11, 'pressure': 1008, 'light': 368}
📡 [2026-04-18T03:56:37.662385] Published: {'temperature': 24.3, 'humidity': 51.28, 'co2': 657, 'ch4': 4, 'pressure': 1023, 'light': 833}
📡 [2026-04-18T03:56:42.662929] Published: {'temperature': 27.16, 'humidity': 86.85, 'co2': 580, 'ch4': 12, 'pressure': 1001, 'light': 1000}
📡 [2026-04-18T03:56:47.663571] Published: {'temperature': 28.87, 'humidity': 59.17, 'co2': 890, 'ch4': 13, 'pressure': 1009, 'light': 559}
📡 [2026-04-18T03:56:52.664586] Published: {'temperature': 26.37, 'humidity': 65.46, 'co2': 412, 'ch4': 1, 'pressure': 1010, 'light': 265}
📡 [2026-04-18T03:56:57.665950] Published: {'temperature': 28.4, 'humidity': 53.08, 'co2': 777, 'ch4': 15, 'pressure': 993, 'light': 504}
📡 [2026-04-18T03:57:02.666838] Published: {'temperature': 29.68, 'humidity': 59.13, 'co2': 549, 'ch4': 14, 'pressure': 1003, 'light': 171}
📡 [2026-04-18T03:57:07.667190] Published: {'temperature': 25.22, 'humidity': 80.17, 'co2': 1074, 'ch4': 6, 'pressure': 1021, 'light': 680}
📡 [2026-04-18T03:57:12.667656] Published: {'temperature': 26.19, 'humidity': 75.9, 'co2': 735, 'ch4': 6, 'pressure': 997, 'light': 889}
📡 [2026-04-18T03:57:17.668021] Published: {'temperature': 28.26, 'humidity': 88.52, 'co2': 795, 'ch4': 4, 'pressure': 1023, 'light': 624}
